generation,ga,average score,best score
52,3,0.61,1.16
53,3,0.55,0.61
54,3,0.14,1.86
55,3,0.40,2.02
56,3,0.97,2.06
57,3,1.15,1.52
58,3,0.50,0.50
59,3,0.50,0.50
60,0,0.50,0.78
61,0,0.51,2.31
62,0,0.49,1.62
63,0,0.55,0.79
64,0,0.27,1.11
65,0,1.11,2.55
66,0,0.23,1.17
67,0,0.56,0.70
68,0,0.39,1.01
69,0,0.31,1.62
60,1,0.50,2.21
61,1,0.49,3.91
62,1,1.40,4.20
63,1,0.27,2.62
64,1,0.62,1.53
65,1,0.83,1.35
66,1,0.18,1.60
67,1,0.24,1.10
68,1,0.50,0.50
69,1,0.60,1.02
60,2,0.50,0.50
61,2,1.18,4.92
62,2,0.50,0.50
63,2,0.52,0.57
64,2,0.58,1.04
65,2,0.92,1.00
66,2,0.50,0.50
67,2,0.50,0.50
68,2,0.50,0.50
69,2,0.50,0.50
60,3,0.50,4.50
61,3,0.40,1.27
62,3,0.50,0.50
63,3,0.76,3.17
64,3,0.45,1.91
65,3,0.88,2.02
66,3,0.50,0.50
67,3,0.74,1.01
68,3,-0.00,1.10
69,3,0.50,0.50
70,0,0.50,4.13
71,0,0.34,4.56
72,0,0.55,1.43
73,0,0.49,2.93
74,0,0.13,2.22
75,0,0.69,3.46
76,0,0.40,0.94
77,0,0.50,0.50
78,0,0.59,1.98
79,0,0.38,2.56
70,1,0.50,0.50
71,1,0.81,4.33
72,1,0.36,1.23
73,1,0.25,1.42
74,1,0.40,3.61
75,1,0.94,3.01
76,1,0.52,0.67
77,1,0.18,1.35
78,1,0.92,1.56
79,1,0.50,0.50
70,2,0.50,0.50
71,2,0.44,1.08
72,2,0.48,0.87
73,2,0.32,2.76
74,2,1.17,4.10
75,2,0.28,0.78
76,2,0.71,1.40
77,2,0.17,1.83
78,2,1.25,1.69
79,2,1.38,1.50
70,3,0.50,2.54
71,3,0.46,0.89
72,3,0.51,0.81
73,3,0.60,4.00
74,3,0.76,3.95
75,3,0.44,0.91
76,3,0.38,1.10
77,3,0.32,1.00
78,3,0.35,1.02
79,3,0.50,0.50
80,0,0.50,1.91
81,0,0.44,1.56
82,0,0.50,0.50
83,0,0.66,4.03
84,0,0.74,1.36
85,0,0.12,1.29
86,0,0.54,0.71
87,0,0.83,1.44
88,0,0.20,1.59
89,0,0.73,1.53
80,1,0.50,2.25
81,1,0.77,2.06
82,1,0.29,2.26
83,1,0.64,1.36
84,1,0.50,0.50
85,1,0.16,1.56
86,1,0.49,0.57
87,1,0.50,0.50
88,1,0.77,1.01
89,1,0.01,1.08
80,2,0.50,3.08
81,2,0.34,2.62
82,2,0.96,4.27
83,2,1.29,4.07
84,2,1.61,2.52
85,2,0.02,1.12
86,2,0.50,0.50
87,2,0.14,1.03
88,2,0.65,1.03
89,2,0.88,1.00
80,3,0.50,2.16
81,3,1.24,7.56
82,3,0.54,0.88
83,3,0.33,1.68
84,3,0.53,1.78
85,3,0.50,0.50
86,3,0.19,1.51
87,3,0.52,1.20
88,3,0.47,2.14
89,3,0.24,1.40
90,0,0.50,1.79
91,0,0.73,3.44
92,0,1.22,3.11
93,0,0.50,0.50
94,0,0.50,0.50
95,0,0.13,1.34
96,0,0.20,2.12
97,0,0.50,0.50
98,0,0.81,2.03
99,0,0.25,1.38
90,1,0.50,2.75
91,1,0.67,2.69
92,1,0.61,1.23
93,1,0.49,2.23
94,1,0.97,2.03
95,1,0.69,0.81
96,1,0.50,0.50
97,1,0.50,0.50
98,1,0.50,0.50
99,1,0.50,0.50
90,2,0.50,0.75
91,2,0.57,1.91
92,2,0.93,3.74
93,2,0.94,2.14
94,2,0.50,0.50
95,2,0.94,1.77
96,2,0.08,0.93
97,2,1.03,1.52
98,2,-0.06,1.14
99,2,0.58,0.60
90,3,0.50,0.50
91,3,0.55,3.36
92,3,0.44,1.93
93,3,0.96,4.06
94,3,0.28,1.54
95,3,0.70,1.31
96,3,1.39,2.05
97,3,0.96,1.00
98,3,0.50,0.50
99,3,0.50,0.50
